,mean,std,skew,kurtosis
gaming_hours,0.457291683439534,0.458904405968716,2.0285874633522787,5.337552712368355
youtube_hours,0.8353171026091439,0.7753134298139899,1.8816710879668233,4.438042379405946
phone_usage_hours,1.973868142398409,1.4579658926257322,1.5735036525717825,3.240789420988713
social_media_hours,1.2433726744763416,0.975055979493307,1.487955027915949,2.9051745785236904
productivity_score,87.09433440068972,9.614972269424747,-0.46824941470967035,-0.2668375447835394
final_grade,78.25232378022584,10.212837926066365,-0.4501365451381942,0.26773514877155113
exercise_minutes,30.156,6.7211615085525285,0.30375175847168834,0.14312006941192834
attendance_percentage,85.00268687844347,9.243709456939841,-0.20009103737039768,-0.4005244475987557
focus_score,5.001220877146896,1.927486374956952,0.14365620547503213,-0.4587268588283302
sleep_hours,7.0228406538046295,1.2223225093566035,-0.06824499273480651,-0.15781176327553537
coffee_intake_mg,193.622,115.5123253623666,0.04683351125416853,-1.1836222935124687
stress_level,4.849647319727782,1.8909136207216575,0.03885016386891755,-0.35740986190572377
assignments_completed,9.176,5.568036463612666,0.035442799066011985,-1.0910196453008751
breaks_per_day,6.468,2.8335550229590165,0.03499004613315123,-1.2007683896487045
study_hours_per_day,3.9189442653023296,1.5006493133551502,-0.02058162907493967,-0.14871778012193904
age,23.486,3.4136652179791858,0.01484402866708976,-1.2048484338877918
